Crop,N,P,K,pH,soil_moisture
rice,80,40,40,5.5,30
maize,80,40,20,5.5,50
chickpea,40,60,80,5.5,60
kidneybeans,20,60,20,5.5,45
pigeonpeas,20,60,20,5.5,45
mothbeans,20,40,20,5.5,30
mungbean,20,40,20,5.5,80
blackgram,40,60,20,5,60
lentil,20,60,20,5.5,90
pomegranate,20,10,40,5.5,30
banana,100,75,50,6.5,40
mango,20,20,30,5,15
grapes,20,125,200,4,60
watermelon,100,10,50,5.5,70
muskmelon,100,10,50,5.5,30
apple,20,125,200,6.5,50
orange,20,10,10,4,60
papaya,50,50,50,6,20
coconut,20,10,30,5,45
cotton,120,40,20,5.5,70
jute,80,40,40,5.5,20
coffee,100,20,30,5.5,20
